反射回数,光路長(m),位置x(mm),位置y(mm)
0,0,5.6,-6.18
1,0.02336284827883384,8.269056302976207,-3.5109436970237926
2,0.04837897409935183,2.863633694344129,2.800397223907546
3,0.0737411314007347,-5.412438098939692,6.414146742554594
4,0.09710697389418996,-8.104750323397125,3.7491878165487758
5,0.12215344008534973,-2.8799910081279467,-2.7964693445995974
6,0.14748289528539982,5.217752895543962,-6.644095814480756
7,0.17085094183300317,7.929766239763577,-3.9845430778265367
8,0.19592920770804415,2.893005711352404,2.7918170482348836
9,0.22122526863268197,-5.01629522403293,6.868851422516555
10,0.24459467853876204,-7.744559892284048,4.216381360996526
11,0.2697059456926027,-2.902915529977119,-2.786047590476281
12,0.29496821439162446,4.808480734695469,-7.087438968719457
13,0.31833811223874037,7.549700491185411,-4.4440703390278085
14,0.3434832962204294,2.91000194199602,2.778779310595448
15,0.3687116828265989,-4.5947843706055,7.298925997626839
16,0.39208117508414664,-7.345864741724134,4.666988664567204
17,0.4172608844618129,-2.9145857424053787,-2.7696479882301857
18,0.4424556132956079,4.375732195413296,-7.502441923223123
19,0.46582380533055023,7.133826825013244,-4.884540610485853
20,0.4910383289924789,2.917021482004679,2.758313220194794
21,0.5161999363646692,-4.1518908343392,7.6971955821825135
22,0.5395659494428505,-6.91444457429869,5.096169467337695
23,0.564815252561152,-2.91769109073283,-2.7444644935990317
24,0.5899445761383727,3.923854955389087,-7.882489781168305
25,0.6133075640068182,6.688642436651237,-5.301369080336798
26,0.6385912926423517,2.916997035425359,2.727826622337618
27,0.6636894526758829,-3.6922333549258832,8.05773219597105
28,0.6870486173381797,-6.457392017283322,5.499693036541315
29,0.712366111228347,-2.915355366243843,-2.7081642378712836
30,0.7374344843633212,3.457634305583535,-8.222442219349134
31,0.760789090699939,6.221691146042598,-5.690761175429486
32,0.7861394033837221,2.913188977560125,2.68528508099374
33,0.8111795901264967,-3.220650864943278,8.37625361706863
34,0.8345289790671454,-5.982542469581212,5.8742632749063635
35,0.8599109041957833,-2.91092135427717,-2.659041922900707
36,0.8849246913898321,2.981846827232778,-8.518913110397804
37,0.9082682914123189,5.74093255494419,-6.049959941099264
38,0.933680393889432,2.908971002897072,2.629333041397139
39,0.9586697137146651,-2.741743931697542,8.650275233045676
40,0.9820070505201756,-5.49781239773268,6.2176808872537634
41,1.0074477010192389,-2.907746688548219,-2.5961012795052323
42,1.0324145880792945,2.5008108306718446,-8.770293991844627
43,1.0557452923730108,5.254080075858681,-6.377320912078604
44,1.0812127037879005,2.9076435241999636,2.5593318072005786
45,1.1061592517909333,-2.259454182424486,8.879011981858373
46,1.1294830651745909,-5.010566098885796,6.528833973927249
47,1.1549753296556937,-2.909039893681918,-2.5190487827293353
48,1.1799036490436723,2.0180120849141567,-8.976547664994623
49,1.203220428098281,4.768021795562918,-6.672225802732188
50,1.2287355534911601,2.9122951401910635,2.475311161601783
51,1.2536477311551084,-1.7767499221392464,9.063081521125257
52,1.2769574498533778,-4.5271108794619925,6.807545499859487
53,1.3024933945652757,-2.917747918095465,-2.4282079265267713
54,1.3273914565269047,1.5358585674393739,-9.138841732317205
55,1.3506942071625658,4.2884041517100915,-6.934876553623189
56,1.376248912710688,2.9257150870415893,2.377853011531622
57,1.4011347903814249,-1.2954547865071362,9.204089977454881
58,1.4244307832344816,-4.052377152342517,7.054327653485634
59,1.4500022039585616,-2.9364910211064075,-2.3243801723997404
60,1.4748777043285226,1.0555836112523878,-9.259107810587636
61,1.498167266300649,3.819410463748191,-7.166023627725853
62,1.523753395934712,2.950347208764896,2.267938019108076
63,1.5486201758146463,-0.8162224143140362,9.304183985041735
64,1.5719037482679084,-3.589792301807266,7.270096765603032
65,1.5975026432512687,-2.9675320285204645,-2.2086853804215405
66,1.6223621875017988,0.5772864001064688,-9.339602977663723
67,1.6456403235180894,3.363722999359534,-7.366678722368352
68,1.6712501230770265,2.988270597384286,2.146787122027069
69,1.6961037266176981,-0.3386352369258301,9.365634871535168
70,1.7193770878679622,-3.1413209866285103,7.455893148751882
71,1.744996031014811,-3.012764602899914,-2.082410492332139
72,1.769844784311616,0.10008057989730457,-9.382526676119578
73,1.7931141376857387,2.922629896830998,-7.537849138907358
74,1.8187405773619727,3.04119204274461,2.015722027724303
75,1.84358535504353,0.13860572969113472,9.390495103362591
76,1.866851569146392,-2.707626464832902,7.6126355538383415
77,1.8924839837835141,-3.07370680841711,-1.946885013734505
78,1.9173254360278797,-0.37768296253165445,-9.389720776878363
79,1.9405894775971533,2.4962289353103384,-7.6803162514125916
80,1.9662264803879197,3.1104380609906017,1.8760574710245717
81,1.9910650267476444,0.6174324302567928,9.380343827543815
82,2.0143279569967043,-2.2883057483994365,7.740926238621151
83,2.039968303164091,-3.1514893575970353,-1.8033906153746457
84,2.0648041285497105,-0.8581481420696635,-9.36246082007957
85,2.0880670993866035,2.0836843204625786,-7.794468755519809
86,2.113709691713759,3.196937497688835,1.7290277282274626
87,2.1385427443286087,1.1001272564859117,9.336122958426337
88,2.1618069943510223,-1.8821597818088502,7.840913301624637
89,2.1874508871968237,-3.2468310688126425,-1.653103367882668
90,2.212280878302454,-1.3436603755098946,-9.301335529563097
91,2.235547728420644,1.683503569574626,-7.880194622446141
92,2.261192130396659,3.3011886833058446,1.5757428500669137
93,2.286018535882219,1.5890217192489227,9.258058562420487
94,2.3092893843783693,-1.4874718010735155,7.9122126841544995
95,2.334933659807922,-3.359996910672761,-1.4970619293470078
96,2.359755723633024,-1.8364592213597293,-9.206208697304984
97,2.3830320404282,1.2938133701585097,-7.936833675717944
98,2.408675709650537,3.4232079260466772,1.4171666188809056
99,2.4334924493238015,2.0861846001811086,9.145662278407963
100,2.4567757691944156,-1.1022777165802005,7.953892087742851
101,2.482418507720179,-3.4907369136244353,-1.3361530946863773
102,2.5072287220591742,-2.3383634867310374,-9.076259694238159
103,2.5305206365260684,0.912622216646569,-7.96319392302796
104,2.556162272997938,3.562459285622449,1.2541076414954446
105,2.5809645524846556,2.5931057280725645,8.997810994984675
106,2.604266700092253,-0.7246191339260761,7.964521092802013
