反射回数,光路長(m),位置x(mm),位置y(mm)
0,0,3.17,-5.54
1,0.06087446103363519,10.12451864314438,1.4145186431443797
2,0.12324547436998244,-7.908162986412812,5.024113111368287
3,0.1839914483869467,-6.428936915632103,-3.656972129996852
4,0.24611944918877407,10.873283662331904,-3.4699254674004147
5,0.3074205410286401,1.3363548174024942,5.20071063160888
6,0.3688148690124524,-11.442100683594042,1.1218521354108475
7,0.4308748460763689,4.038364250455253,-5.775111149246095
8,0.4916649488988135,9.526002080370827,1.5116998533480892
9,0.5540355633656572,-8.487561949725453,5.231774694095069
10,0.6148656714639127,-5.5587698140850375,-3.8570388626889045
11,0.6768443554290275,11.031251233465499,-3.580594973922234
12,0.7383270227065293,0.3912019044657207,5.473909466493967
13,0.7995510374667107,-11.1463424074628,1.0946667827843592
14,0.8617332861787005,4.842514088364206,-6.063981457952482
15,0.9224778455427475,8.851497882722477,1.6767544932740028
16,0.9848060213349855,-8.964838152470534,5.457478560537725
17,1.045755791959269,-4.662151474512408,-4.134935142601236
18,1.1075644924837422,11.072911589772957,-3.668457985070851
19,1.16923036814741,-0.5253380647365606,5.816032966062085
20,1.2303024377455238,-10.74900098231106,1.0114739087523192
21,1.2925728077907868,5.569055201811992,-6.394418141943631
22,1.3533136084208843,8.114697206296379,1.9170536182916047
23,1.4155588969760773,-9.332724736460117,5.684621388885242
24,1.4766581361391096,-3.7558063889998543,-4.4904358610623305
25,1.5382849982920699,10.999440141046595,-3.71722650574275
26,1.600125922740974,-1.3972548301380527,6.218992591336776
27,1.6610728210659067,-10.25976270657388,0.8606253605604843
28,1.7233917653096835,6.206167372776257,-6.751830240793879
29,1.7841714923760168,7.3309418360126655,2.23732514660772
30,1.8462972561864515,-9.586455837192425,5.895590561717757
31,1.9075682809331134,-2.8568465791533155,-4.920260021533268
32,1.969011163851293,10.81501154853878,-3.7114597239633365
33,2.0310092665009583,-2.209450556624242,6.671792084583169
34,2.091864981904087,-9.690842083614712,0.6326809902549195
35,2.154189537777614,6.744038047283489,-7.119563435887053
36,2.2150495215774972,6.516907595085631,2.639363061182107
37,2.277025099651148,-9.72416744659018,6.072420637530485
38,2.338481238782466,-1.982307287976143,-5.417973632987489
39,2.399748125214442,10.526951356400362,-3.6372289490724503
40,2.4618764654505667,-2.948228684844649,7.160685884354048
41,2.5226805362804865,-9.05677929674669,0.3208450056014671
42,2.5849666569149963,7.17533168513388,-7.4794120109755
43,2.6459445334131035,5.6901652845166435,3.1217973402673707
44,2.707747196385708,-9.747261649698835,6.19756468566321
45,2.7693917006512363,-1.1486017819100311,-5.974001445932807
46,2.83050052191538,10.145747189415028,-3.482759999177169
47,2.8927243349561613,-3.6018162356126115,7.669502266396927
48,2.9535197602030445,-8.37407883889976,-0.07866604704881741
49,3.0157248782368007,7.495660794573386,-7.812314782398247
50,3.076852306457336,4.8686212970439495,3.679961109924263
51,3.1384688251205493,-9.66066754255446,6.254726058605016
52,3.2002943310115852,-0.37092172555472125,-6.575787796056389
53,3.261272155329648,9.684869109912825,-3.239003505519523
54,3.3235506941664674,-4.160890623647594,8.180158650296661
55,3.3843815158016404,-7.660681400000321,-0.5663544505206257
56,3.4464671654640213,7.70400542643708,-8.09920611651696
57,3.5077677759078054,4.0698616154274445,4.305894540509611
58,3.5691954334343583,-9.472927685286702,6.229674926504299
59,3.631184099478236,0.33737706172788506,-7.208136739960417
60,3.6920656893798536,9.160369571162512,-2.9000861994118354
61,3.7543545817832573,-4.619070614496803,8.673369690522122
